Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Dificultad,Zonas_final,Jugador2,Jugador,Zonas,Categoria,Optional Column
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:44:21,00:44:27,6.000,,13,5,3,13,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:44:29,00:44:29,0.000,,7,6,5,10,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:44:31,00:44:31,0.000,,10,5,6,7,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:44:35,00:44:35,0.000,,13,11,5,10,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:44:36,00:44:36,0.000,,13,5,11,13,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:44:40,00:44:40,0.000,,17,7,5,13,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:44:37,00:44:43,6.000,,Volver,,5,13,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pelota parada,,00:44:51,00:44:57,6.000,,9,8,4,9,Lateral corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:44:55,00:44:55,0.000,,9,4,8,9,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:44:58,00:44:58,0.000,,8,6,4,9,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:45:02,00:45:02,0.000,,18,9,6,8,largo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Duelo,,00:45:02,00:45:08,6.000,,Volver,,9,18,Aereo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:45:02,00:45:08,6.000,,Volver,,9,18,Robo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:45:03,00:45:09,6.000,,Volver,,8,15,Encontrada,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:45:12,00:45:12,0.000,,13,3,8,14,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:45:17,00:45:17,0.000,,19,11,3,16,inteligente,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:45:21,00:45:21,0.000,,18,7,11,20,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:45:25,00:45:25,0.000,,24,4,7,18,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:45:27,00:45:27,0.000,,21,9,4,24,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:45:25,00:45:31,6.000,,Volver,,4,24,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pelota parada,,00:45:48,00:45:54,6.000,,Volver,,4,15,Lateral corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:45:52,00:45:52,0.000,,18,7,4,15,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:45:52,00:45:52,0.000,,18,8,7,18,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:45:54,00:45:54,0.000,,18,7,8,18,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:45:57,00:45:57,0.000,,17,8,7,17,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Remate pie,,00:45:57,00:46:03,6.000,,Volver,,8,23,Media distancia,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:45:59,00:46:05,6.000,,Volver,,8,23,Atajada,
