Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Dificultad,Jugador2,Zonas_final,Calificacion,Zonas,Jugador,Categoria,Optional Column
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,00:56:38,00:56:38,0.000,,,Volver,,18,7,Recibida,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Arquero,,00:58:04,00:58:04,0.000,,,Volver,,3,1,Remate atajable,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:58:15,00:58:15,0.000,,2,9,,4,1,S arquero mano,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:58:18,00:58:18,0.000,,4,9,,9,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:58:30,00:58:30,0.000,,10,15,,9,4,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,00:58:30,00:58:30,0.000,,,Volver,,9,4,Interceptado,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:58:56,00:58:56,0.000,,5,9,,8,6,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:59:01,00:59:01,0.000,,2,9,,8,5,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:59:05,00:59:05,0.000,,4,18,,9,2,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:59:07,00:59:07,0.000,,9,17,,18,4,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:59:10,00:59:10,0.000,,8,18,,18,9,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:59:12,00:59:12,0.000,,10,18,,18,8,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:59:16,00:59:16,0.000,,4,18,,18,10,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,00:59:17,00:59:17,0.000,,,Volver,,18,10,Interceptado,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:59:32,00:59:32,0.000,,2,15,,18,4,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:59:36,00:59:36,0.000,,6,13,,14,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:59:38,00:59:38,0.000,,2,11,,10,6,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:59:44,00:59:44,0.000,,6,13,,11,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:59:45,00:59:45,0.000,,3,13,,13,6,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:59:46,00:59:46,0.000,,7,16,,13,3,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:59:49,00:59:49,0.000,,9,20,,19,7,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Remate pie,,00:59:50,00:59:50,0.000,,Rival,22,,20,9,Corta distancia,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,00:59:52,00:59:52,0.000,,,Volver,,20,9,Balon afuera fondo,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,01:02:32,01:02:32,0.000,,,Volver,,7,8,Recibida,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:02:39,01:02:39,0.000,,5,8,,9,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:02:45,01:02:45,0.000,,6,7,,8,5,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:03:59,01:03:59,0.000,,7,13,,3,1,S arquero pie,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,01:03:59,01:03:59,0.000,,,Volver,,3,1,Interceptado,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:04:43,01:04:43,0.000,,5,8,,10,6,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:04:46,01:04:46,0.000,,7,18,,8,5,largo,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:05:43,01:05:43,0.000,,4,18,,18,9,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:05:47,01:05:47,0.000,,9,17,,18,4,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,01:05:48,01:05:48,0.000,,,Volver,,18,4,Interceptado,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:06:02,01:06:02,0.000,,2,9,,5,1,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:06:08,01:06:08,0.000,,5,10,,9,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:06:16,01:06:16,0.000,,6,10,,11,5,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:06:17,01:06:17,0.000,,5,11,,7,6,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:06:20,01:06:20,0.000,,2,12,,11,5,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:06:23,01:06:23,0.000,,11,17,,15,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:06:24,01:06:24,0.000,,4,15,,17,11,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:06:26,01:06:26,0.000,,7,18,,15,4,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:06:28,01:06:28,0.000,,8,15,,18,7,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,01:06:28,01:06:28,0.000,,,Volver,,18,7,Interceptado,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:06:43,01:06:43,0.000,,5,11,,9,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:06:44,01:06:44,0.000,,10,14,,11,5,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:06:47,01:06:47,0.000,,2,12,,11,10,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:06:50,01:06:50,0.000,,10,12,,12,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:06:53,01:06:53,0.000,,8,18,,18,10,corto,
