Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas_final,Jugador2,Calificacion,Zonas,Jugador,Categoria,Optional Column
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Remate pie,,01:25:43,01:25:43,0.000,22,Rival,,16,3,Media distancia,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,01:25:43,01:25:43,0.000,Volver,,,16,3,Balon afuera fondo,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,01:26:49,01:26:49,0.000,Volver,,,15,4,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:27:09,01:27:09,0.000,10,3,,10,6,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:27:12,01:27:12,0.000,10,9,,10,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:27:14,01:27:14,0.000,13,5,,10,9,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:27:16,01:27:16,0.000,13,3,,13,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:27:21,01:27:21,0.000,16,7,,13,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:27:27,01:27:27,0.000,14,2,,16,10,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:27:30,01:27:30,0.000,18,4,,14,2,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:27:34,01:27:34,0.000,23,8,,24,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:27:35,01:27:35,0.000,20,10,,23,8,medio,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,01:27:41,01:27:41,0.000,Volver,,,19,10,Hecha,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:28:42,01:28:42,0.000,7,6,,10,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:28:44,01:28:44,0.000,10,3,,7,6,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:28:45,01:28:45,0.000,10,5,,10,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:28:51,01:28:51,0.000,12,2,,10,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Remate pie,,01:28:57,01:28:57,0.000,23,Rival,,15,2,Larga distancia,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,01:28:56,01:28:56,0.000,Volver,,,15,2,Balon afuera fondo,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,01:30:06,01:30:06,0.000,Volver,,,11,5,Recibida,
