Partido,Situacion,Evento,Subevento,Tiempo_inicial,Tiempo_final,Jugador,Zonas_Inicial,Zonas_Final
Independiente,A favor,Pase corto,Ataque combinado,01:48:15,01:48:21,3,4,5
Independiente,A favor,Pase largo,Ataque combinado,01:48:20,01:48:26,Suplente 1,5,9
Independiente,A favor,Remate atajado,Ataque combinado,01:48:25,01:48:31,Suplente 2,9,8
Huracan,En contra,Lateral,Pelota Parada,00:26:13,00:26:51,Rival,3,3
Huracan,En contra,Disputa suelo,Pelota Parada,00:26:23,00:26:29,Rival,3,3
Huracan,En contra,Gambeta,Pelota Parada,00:26:36,00:26:42,Rival,2,Volver
Huracan,En contra,Remate pie,Pelota Parada,00:26:39,00:26:45,Rival,2,2
Huracan,En contra,Recuperacion,Ataque Directo,00:36:09,00:36:20,Rival,2,Volver
Huracan,En contra,Remate atajado,Ataque Directo,00:36:18,00:36:24,Rival,2,2
Huracan,A favor,Tiro libre,Pelota Parada,00:39:45,00:40:03,8,4,Volver
Huracan,A favor,Centro,Pelota Parada,00:39:50,00:39:56,8,4,9
Huracan,A favor,Disputa aereo,Pelota Parada,00:39:54,00:40:01,6,9,Volver
Huracan,A favor,Penal,Pelota Parada,00:39:59,00:40:05,2,8,Volver
Huracan,A favor,Penal,Pelota Parada,00:40:59,00:41:17,9,8,Volver
Huracan,A favor,Remate atajado,Pelota Parada,00:41:06,00:41:12,9,8,8
Huracan,En contra,Pase corto,Ataque combinado,01:00:41,01:00:59,Rival,5,4
Huracan,En contra,Pase corto,Ataque combinado,01:00:45,01:00:51,Rival,4,1
Huracan,En contra,Remate atajado,Ataque combinado,01:00:49,01:00:55,Rival,1,2
Huracan,A favor,Pase largo,Ataque combinado,01:03:08,01:03:24,4,6,9
Huracan,A favor,Centro,Ataque combinado,01:03:13,01:03:23,11,9,8
Huracan,A favor,Remate pie,Ataque combinado,01:03:21,01:03:27,7,8,8
Huracan,En contra,Tiro libre,Pelota Parada,01:28:57,01:29:05,Rival,7,Volver
Huracan,En contra,Remate atajado,Pelota Parada,01:29:01,01:29:07,Rival,7,8
Huracan,En contra,Lateral,Pelota Parada,01:48:57,01:49:18,Rival,1,4
Huracan,En contra,Disputa suelo,Pelota Parada,01:49:02,01:49:12,Rival,4,Volver
Huracan,En contra,Disputa suelo,Pelota Parada,01:49:10,01:49:20,Rival,8,Volver
Huracan,En contra,Remate pie,Pelota Parada,01:49:17,01:49:23,Rival,8,8
Huracan,En contra,Gol,Pelota Parada,01:49:22,01:49:28,Rival,8,Volver
Huracan,En contra,Pase largo,Ataque combinado,01:53:34,01:53:52,Rival,1,4
Huracan,En contra,Disputa suelo,Ataque combinado,01:53:39,01:53:45,Rival,4,Volver
Huracan,En contra,Centro,Ataque combinado,01:53:43,01:53:54,Rival,7,8
Huracan,En contra,Remate pie,Ataque combinado,01:53:51,01:53:57,Rival,8,8
Huracan,A favor,Recuperacion,Ataque combinado,01:57:10,01:57:28,2,5,Volver
