Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Dificultad,Optional Column
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:40:02,00:40:02,0.000,8,corto,2,6,7,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:40:06,00:40:06,0.000,8,corto,5,2,11,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:40:08,00:40:08,0.000,11,corto,2,5,8,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:40:10,00:40:10,0.000,8,corto,6,2,8,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:40:17,00:40:17,0.000,15,medio,4,6,18,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:41:10,00:41:10,0.000,13,inteligente,7,3,20,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Remate pie,,00:42:35,00:42:35,0.000,21,Corta distancia,Rival,6,22,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:42:35,00:42:35,0.000,21,Atajada,Rival,6,22,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Falta,,00:47:04,00:47:04,0.000,8,Hecha,,8,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:48:25,00:48:25,0.000,3,S arquero pie,9,1,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Falta,,00:48:28,00:48:28,0.000,17,Hecha,,9,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:49:15,00:49:15,0.000,9,corto,7,10,12,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:49:18,00:49:18,0.000,12,corto,8,7,8,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:49:19,00:49:19,0.000,8,corto,5,8,8,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:49:21,00:49:21,0.000,8,medio,3,5,10,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:49:27,00:49:27,0.000,16,medio,9,3,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:49:28,00:49:28,0.000,16,Interceptado,,3,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:49:37,00:49:37,0.000,13,corto,10,8,14,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:49:45,00:49:45,0.000,10,corto,2,3,7,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:49:51,00:49:51,0.000,7,corto,1,2,3,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:49:55,00:49:55,0.000,3,corto,6,1,6,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Falta,,00:50:06,00:50:06,0.000,8,Offside,,10,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Tarjeta,,00:50:06,00:50:06,0.000,8,Amarilla,,10,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:51:02,00:51:02,0.000,8,corto,8,5,7,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:51:05,00:51:05,0.000,13,corto,11,8,13,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:51:06,00:51:06,0.000,13,Interceptado,,8,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:51:17,00:51:17,0.000,11,corto,2,5,8,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:51:27,00:51:27,0.000,8,medio,4,2,12,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:51:30,00:51:30,0.000,12,corto,10,4,15,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:51:37,00:51:37,0.000,9,largo,11,6,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:52:18,00:52:18,0.000,3,S arquero pie,9,1,14,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:53:11,00:53:11,0.000,9,corto,2,6,8,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:53:14,00:53:14,0.000,8,corto,6,2,8,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:53:18,00:53:18,0.000,9,corto,1,6,3,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:53:21,00:53:21,0.000,4,corto,2,1,2,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:53:26,00:53:26,0.000,2,largo,Rival,2,11,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:53:27,00:53:27,0.000,2,Interceptado,,2,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:53:37,00:53:37,0.000,12,medio,11,4,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:53:39,00:53:39,0.000,17,corto,9,11,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:54:18,00:54:18,0.000,9,largo,11,4,15,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:54:19,00:54:19,0.000,15,corto,9,11,14,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Remate pie,,00:54:25,00:54:25,0.000,23,Corta distancia,Rival,9,20,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:54:26,00:54:26,0.000,23,Balon afuera fondo,,9,Volver,,
