Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Dificultad,Calificacion,Optional Column
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:05:38,01:05:38,0.000,14,corto,3,10,13,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:05:39,01:05:39,0.000,13,corto,Rival,3,16,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,01:05:39,01:05:39,0.000,13,Interceptado,,3,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:05:43,01:05:43,0.000,13,centro aereo,9,3,21,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,01:05:43,01:05:43,0.000,13,Interceptado,,3,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,01:05:49,01:05:49,0.000,16,Hecha,,3,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,01:07:51,01:07:51,0.000,7,Recibida,,11,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:08:25,01:08:25,0.000,19,corto,8,9,19,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,01:08:26,01:08:26,0.000,19,Interceptado,,9,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:08:34,01:08:34,0.000,7,corto,1,2,2,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,01:26:24,01:26:24,0.000,10,Recibida,,10,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:28:03,01:28:03,0.000,8,corto,10,5,8,,,
