Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.inicial,Subevento,Jugador.2,Jugador.1,coord.final,Dificultad,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,perdida,,00:21:28,00:21:28,0.0,"238,96",atajada,,9.0,,,,1288.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,237.78872680936706,,96.15204377537401,
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,gol rival,,00:21:49,00:21:49,0.0,"46,64",indirecta,1,,"18,73",,,1309.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,45.980344912430084,17.568682612375664,63.66283289175363,72.99446338155288
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:22:31,00:22:31,0.0,"121,75",corto,4,8.0,"101,153",,,1351.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,121.32166136990602,100.50442488072262,75.04446263404313,152.61875673541533
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:22:34,00:22:34,0.0,"124,137",corto,6,4.0,"53,123",,,1354.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,123.66779655453189,53.4874498658406,136.51992818091915,123.39233273801052
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:22:37,00:22:37,0.0,"81,135",corto,5,6.0,"102,82",,,1357.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,81.16211396091236,102.02327496064248,134.61872800512754,81.97710249870678
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:22:42,00:22:42,0.0,"96,140",corto,4,5.0,"112,120",,,1362.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,96.17680030364977,111.55133958646408,140.06964556168094,120.32950598721055
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:22:47,00:22:47,0.0,"141,125",largo,Rival,4.0,"266,97",,,1367.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,141.26857105884557,265.6880050694907,124.75501848398402,97.22859386919777
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,perdida,,00:22:48,00:22:48,0.0,"173,148",atajada,,4.0,,,,1368.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,173.06931748361387,,147.5481558911329,
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,falta,,00:23:49,00:23:49,0.0,"10,17",hecha,,3.0,,,,1429.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10.183014252208496,,17.36193668150439,
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,falta,,00:25:08,00:25:08,0.0,"122,91",recibida,,8.0,,,,1508.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,122.30682405522306,,91.49593427200664,
