Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),Dificultad,coord.final,Jugador.2,Jugador.1,Calificacion,coord.inicial,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:07:45,00:07:45,0.0,,"272,82",3,11.0,,"256,38",centro aereo,,465.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,256.1248544686537,272.0,37.704606597730574,82.41664043066834
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,remate cabeza,,00:07:47,00:07:47,0.0,,"264,69",Rival,3.0,,"253,92",dificil,,467.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,253.34042224583266,264.4042084706723,92.31675744843724,68.99224572140461
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,perdida,,00:07:47,00:07:47,0.0,,,,3.0,,"272,86",balon afuera fondo,,467.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,272.0,,85.85054140939454,
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:08:21,00:08:21,0.0,,"55,81",1,6.0,,"61,155",corto,,501.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,61.34789911067047,54.77258966029787,154.75120635295954,80.51977147994954
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:08:24,00:08:24,0.0,,"70,93",2,1.0,,"64,97",corto,,504.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,63.80914243983119,69.61223006643786,97.39047784132322,92.55791257076987
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:08:29,00:08:29,0.0,,"73,155",6,2.0,,"65,100",corto,,509.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,65.11471796602517,73.42340718742129,100.4070655595167,154.74172704043502
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:08:32,00:08:32,0.0,,"175,135",9,6.0,,"74,159",medio,,512.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,74.02354309307869,175.4216374096503,159.28678548107638,135.21632400855592
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,perdida,,00:08:32,00:08:32,0.0,,,,6.0,,"66,140",interceptado,,512.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,65.63153319647085,,140.2270861017193,
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:09:28,00:09:28,0.0,,"2,85",2,1.0,,"30,65",s arquero pie,,568.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,29.761284651829108,2.2877637273798594,65.41881577630937,84.9556690143626
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:09:34,00:09:34,0.0,,"50,69",5,2.0,,"41,85",corto,,574.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,40.847332855925536,50.44312589095914,85.04781684944906,69.33702003871394
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:09:36,00:09:36,0.0,,"59,8",3,5.0,,"69,98",corto,,576.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,68.50460182409199,58.722672311533174,98.38433388496306,7.749498567331489
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:09:39,00:09:39,0.0,,"21,34",2,3.0,,"61,5",corto,,579.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,60.537330608933615,21.20251033950359,4.746000525474717,33.81727657820006
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:09:41,00:09:41,0.0,,"7,84",1,2.0,,"4,33",corto,,581.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.4936457684779185,7.2240232709181065,32.94575261289528,83.60047415721012
