Session.Start.Date,partido,tiempo,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),Dificultad,coord.final,Jugador.2,Jugador.1,coord.inicial,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Interceptado,pase-Fuera,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta-favor,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Situacion-rival,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:40:48,00:40:48,0.0,,"206,158",9,10.0,"203,133",corto,,2448.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,203.36916278017253,205.82811543749867,133.38018008750467,157.85959133657389
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:40:51,00:40:51,0.0,,"168,127",4,9.0,"206,141",corto,,2451.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,205.7439807597368,168.3172675905561,140.7051442376553,126.8712597651674
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:40:56,00:40:56,0.0,,"172,32",3,4.0,"145,126",largo,,2456.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,145.04393804250282,171.80534336761355,126.3961140694423,32.007954352572746
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,perdida,,00:41:01,00:41:01,0.0,,,,3.0,"175,30",interceptado,,2461.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,174.802467782508,,30.430917077570452,
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:41:30,00:41:30,0.0,,"194,38",11,3.0,"116,32",inteligente,,2490.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,115.58036088252518,193.56689763620804,32.15258571915021,38.466308037551606
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,remate pie,,00:41:34,00:41:34,0.0,,"244,73",Rival,11.0,"248,30",corta distancia,,2494.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,247.82425274364917,244.36948627524504,30.2966840927394,72.91221257458912
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,gol,,00:41:34,00:41:34,0.0,,,,11.0,"245,65",directa,,2494.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,245.0610032084989,,64.73395753711415,
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,arquero,,00:43:28,00:43:28,0.0,,,,1.0,"8,100",remate atajable,,2608.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.734047842774421,,99.96256976565573,
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,falta,,00:43:59,00:43:59,0.0,,,,7.0,"147,10",recibida,,2639.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,146.7006992553984,,10.480204792765758,
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:47:36,00:47:36,0.0,,"149,23",10,9.0,"194,29",corto,,2856.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,194.47736008626185,148.60153047128597,29.178369114617638,22.804130741910377
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:47:40,00:47:40,0.0,,"237,38",9,10.0,"175,23",medio,,2860.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,175.3179750133384,237.36405545617552,23.00421052100205,38.048863680855256
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,falta,,00:47:54,00:47:54,0.0,,,,9.0,"234,19",hecha,,2874.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,234.42413373249195,,18.92522214747035,
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:48:16,00:48:16,0.0,,"175,84",9,11.0,"179,137",corto,,2896.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,178.93035936711684,175.08899759850382,136.87270750708007,84.40936412770586
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:48:18,00:48:18,0.0,,"158,80",8,9.0,"151,97",corto,,2898.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,150.90711760669092,158.2195935353648,97.34718344378267,80.06895559519931
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:48:18,00:48:18,0.0,,"179,146",11,8.0,"150,153",corto,,2898.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,150.351367665499,178.76797723518993,152.89027680097342,146.21923833463455
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:48:22,00:48:22,0.0,,"183,157",10,11.0,"158,128",corto,,2902.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,157.82695973432288,183.27796953958847,127.56587289934276,156.7107988335904
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,perdida,,00:48:29,00:48:29,0.0,,,,10.0,"265,150",interceptado,,2909.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,265.2715175352416,,149.62124728179865,
