Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.final,Jugador.2,Calificacion,coord.inicial,Jugador.1,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:26:31,00:26:31,0.0,"199,15",3,,"206,98",10.0,corto,,1591.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,205.67790915483863,198.8664916672178,98.14299475122002,14.76583016493074
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:26:34,00:26:34,0.0,"221,73",9,,"232,25",3.0,centro aereo,,1594.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,231.7058126167988,220.64195229882446,25.38978078545163,73.31472379792322
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:29:49,00:29:49,0.0,"79,146",4,,"41,76",8.0,corto,,1789.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,40.865269743851115,79.13277603451962,75.83872377696811,146.096110013237
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:29:52,00:29:52,0.0,"91,73",9,,"70,152",4.0,corto,,1792.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,70.3602405930983,91.0696405571792,152.14950169722894,73.00699767518046
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,perdida,,00:29:54,00:29:54,0.0,,,,"66,150",4.0,interceptado,,1794.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,65.60452110505862,,150.11968732164732,
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:30:08,00:30:08,0.0,"196,150",9,,"184,68",10.0,corto,,1808.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,183.74423941699501,195.56929601892384,67.66027487986482,150.4366306101155
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,remate pie,,00:30:11,00:30:11,0.0,"260,63",Rival,,"262,113",9.0,corta distancia,,1811.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,261.50671599520814,259.9954924928061,112.70268244484971,62.64658681215916
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,perdida,,00:30:11,00:30:11,0.0,,,,"253,112",9.0,atajada,,1811.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,253.41932299064135,,111.81820755510165,
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:32:00,00:32:00,0.0,"118,65",10,,"90,34",3.0,corto,,1920.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,89.52041216749078,117.5060203200369,34.15440817917973,65.44080626064645
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:32:02,00:32:02,0.0,"128,64",3,,"99,76",10.0,corto,,1922.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,98.7018091895077,127.70293614828176,76.40675155236985,63.7996956476099
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:32:04,00:32:04,0.0,"69,33",2,,"86,20",3.0,corto,,1924.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,86.02137192829636,69.0959769373574,20.362826718554892,33.36535342544313
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:32:07,00:32:07,0.0,"71,99",5,,"62,33",6.0,corto,,1927.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,61.6558299564506,70.73202884410212,32.860075775162336,98.71749728691002
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:32:09,00:32:09,0.0,"59,132",2,,"69,91",5.0,corto,,1929.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,69.3291229376339,58.88887627032652,91.403087383985,132.13105544170384
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:32:12,00:32:12,0.0,"167,142",4,,"87,140",2.0,corto,,1932.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,87.04783597752396,166.7466184104312,139.6326424805164,142.1860573808916
