Session.Start.Date,partido,tiempo,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),Dificultad,Jugador.2,coord.final,Calificacion,coord.inicial,Jugador.1,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Interceptado,pase-Fuera,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta-favor,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Situacion-rival,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,remate pie,,00:36:10,00:36:10,0.0,,Rival,"253,99",,"260,57",11.0,corta distancia,,2170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,260.4408684979947,253.48209518050646,56.71314965758366,99.4620220151514
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,perdida,,00:36:13,00:36:13,0.0,,,,,"230,47",11.0,interceptado,,2173.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,230.13237700118654,,47.10214255581455,
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:36:24,00:36:24,0.0,,9,"208,99",,"152,75",11.0,corto,,2184.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,151.85552903846101,208.3174613030992,75.04727999142074,99.43674719468879
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:36:26,00:36:26,0.0,,10,"213,160",,"204,69",9.0,corto,,2186.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,204.23050309822443,213.31933501526942,68.64016095863279,160.0693039354743
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,falta,,00:36:29,00:36:29,0.0,,,,,"199,150",10.0,recibida,,2189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,199.44190910196667,,150.29792973332346,
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:37:57,00:37:57,0.0,,7,"152,29",,"158,31",5.0,corto,,2277.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,158.41588416849618,151.80629619685732,31.450395023304154,28.641402777134854
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:38:03,00:38:03,0.0,,10,"200,132",,"176,32",7.0,medio,,2283.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,176.06649105159562,200.47999134945022,31.616736204783233,131.75000769700537
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:38:09,00:38:09,0.0,,4,"162,138",,"208,140",10.0,corto,,2289.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,208.3896938795932,162.46519966429634,140.0544167082389,137.66700888400757
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:38:10,00:38:10,0.0,,2,"153,77",,"148,147",4.0,medio,,2290.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,148.05963249934396,152.77268936722515,147.0618037136296,76.89506420208784
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:38:12,00:38:12,0.0,,6,"160,83",,"174,79",2.0,corto,,2292.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,173.77648232449582,159.53632132210737,79.24716937811404,83.26374568596972
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:38:16,00:38:16,0.0,,2,"150,73",,"108,85",6.0,corto,,2296.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,108.06908031674968,149.7919989468804,85.09404115237072,73.01155543785987
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:38:19,00:38:19,0.0,,10,"216,156",,"164,71",2.0,medio,,2299.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,164.2841785890049,215.7884891065263,70.9145854492394,155.85073495571325
