Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Dificultad,Optional Column
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,01:13:25,01:13:25,0.000,15,Interceptado,,8,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:15:00,01:15:00,0.000,3,S arquero pie,Rival,1,11,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,01:15:00,01:15:00,0.000,3,Interceptado,,1,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:16:08,01:16:08,0.000,3,S arquero pie,4,1,5,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:16:14,01:16:14,0.000,5,largo,Rival,4,13,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,01:16:15,01:16:15,0.000,5,Interceptado,,4,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:16:36,01:16:36,0.000,7,corto,10,2,7,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:16:39,01:16:39,0.000,10,medio,11,10,13,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:16:45,01:16:45,0.000,16,corto,8,11,17,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:16:48,01:16:48,0.000,17,corto,14,8,17,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:16:50,01:16:50,0.000,17,corto,7,14,16,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:16:58,01:16:58,0.000,16,medio,8,7,18,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:17:01,01:17:01,0.000,18,corto,7,8,17,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Falta,,01:17:14,01:17:14,0.000,18,Recibida,,7,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:18:06,01:18:06,0.000,19,centro aereo,4,3,21,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,01:18:06,01:18:06,0.000,19,Interceptado,,3,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:18:34,01:18:34,0.000,4,S arquero mano,3,1,7,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:18:37,01:18:37,0.000,7,corto,2,3,1,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:18:40,01:18:40,0.000,1,medio,Rival,2,10,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,01:18:40,01:18:40,0.000,1,Interceptado,,2,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:19:02,01:19:02,0.000,3,S arquero pie,2,1,2,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:19:06,01:19:06,0.000,2,medio,10,2,10,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:19:08,01:19:08,0.000,10,corto,9,10,10,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:19:12,01:19:12,0.000,13,corto,10,9,16,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:19:20,01:19:20,0.000,19,corto,5,10,16,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:19:37,01:19:37,0.000,7,corto,8,14,8,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:19:41,01:19:41,0.000,11,corto,7,8,15,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,01:19:41,01:19:41,0.000,11,Balon afuera lateral,,8,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:20:46,01:20:46,0.000,3,S arquero pie,Rival,1,14,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,01:20:46,01:20:46,0.000,3,Interceptado,,1,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:21:05,01:21:05,0.000,12,corto,5,8,11,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:21:07,01:21:07,0.000,11,corto,10,5,11,,
